"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3036","verify invalid login @wip","Google Chrome","Fri Jan 23 20:28:29 UTC 2026","failed","Fri Jan 23 20:28:32 UTC 2026","","loginpage.spec.ts","",""
"","3543","verify valid login @login","Google Chrome","Fri Jan 23 20:28:29 UTC 2026","passed","Fri Jan 23 20:28:33 UTC 2026","","loginpage.spec.ts","",""
